"Pos : 0.00 0.00           | Predict  : 311.4245300292969   |  Target 309.224853515625  "
"Pos : 0.00 49.40          | Predict  : 312.61083984375     |  Target 307.0984802246094 "
"Pos : -34.93 34.93        | Predict  : 312.31787109375     |  Target 308.1975402832031 "
"Pos : -49.40 0.00         | Predict  : 308.90045166015625  |  Target 309.18890380859375"
"Pos : -34.93 -34.93       | Predict  : 304.9267883300781   |  Target 309.2918395996094 "
"Pos : 0.00 -49.40         | Predict  : 310.32281494140625  |  Target 308.55908203125   "
"Pos : 34.93 -34.93        | Predict  : 310.845703125       |  Target 307.4739990234375 "
"Pos : 49.40 0.00          | Predict  : 303.8429260253906   |  Target 306.08831787109375"
"Pos : 34.93 34.93         | Predict  : 305.2693176269531   |  Target 306.15283203125   "
"Pos : 0.00 98.80          | Predict  : 297.7023620605469   |  Target 297.2350769042969 "
"Pos : -37.81 91.28        | Predict  : 303.487548828125    |  Target 297.9588928222656 "
"Pos : -69.86 69.86        | Predict  : 292.19598388671875  |  Target 298.9847106933594 "
"Pos : -91.28 37.81        | Predict  : 300.0144958496094   |  Target 299.77923583984375"
"Pos : -98.80 0.00         | Predict  : 302.2154846191406   |  Target 300.4298095703125 "
"Pos : -91.28 -37.81       | Predict  : 297.42791748046875  |  Target 300.2670593261719 "
"Pos : -69.86 -69.86       | Predict  : 298.31494140625     |  Target 299.5597229003906 "
"Pos : -37.81 -91.28       | Predict  : 304.1072998046875   |  Target 299.34783935546875"
"Pos : 0.00 -98.80         | Predict  : 294.31549072265625  |  Target 299.297607421875  "
"Pos : 37.81 -91.28        | Predict  : 297.2916564941406   |  Target 298.7312927246094 "
"Pos : 69.86 -69.86        | Predict  : 297.8661193847656   |  Target 298.1583251953125 "
"Pos : 91.28 -37.81        | Predict  : 295.51678466796875  |  Target 296.8955383300781 "
"Pos : 98.80 0.00          | Predict  : 288.0052490234375   |  Target 296.50103759765625"
"Pos : 91.28 37.81         | Predict  : 295.77496337890625  |  Target 296.22418212890625"
"Pos : 69.86 69.86         | Predict  : 298.96826171875     |  Target 296.2203674316406 "
"Pos : 37.81 91.28         | Predict  : 298.2735290527344   |  Target 296.6725158691406 "
"Pos : 0.00 0.00           | Predict  : 316.1895751953125   |  Target 309.224853515625  "
"Pos : 0.00 49.40          | Predict  : 302.5207214355469   |  Target 307.0984802246094 "
"Pos : -34.93 34.93        | Predict  : 314.2320861816406   |  Target 308.1975402832031 "
"Pos : -49.40 0.00         | Predict  : 308.6706848144531   |  Target 309.18890380859375"
"Pos : -34.93 -34.93       | Predict  : 310.478515625       |  Target 309.2918395996094 "
"Pos : 0.00 -49.40         | Predict  : 311.8496398925781   |  Target 308.55908203125   "
"Pos : 34.93 -34.93        | Predict  : 310.42120361328125  |  Target 307.4739990234375 "
"Pos : 49.40 0.00          | Predict  : 305.6944274902344   |  Target 306.08831787109375"
"Pos : 34.93 34.93         | Predict  : 308.1805419921875   |  Target 306.15283203125   "
"Pos : 0.00 98.80          | Predict  : 298.0688781738281   |  Target 297.2350769042969 "
"Pos : -37.81 91.28        | Predict  : 292.76690673828125  |  Target 297.9588928222656 "
"Pos : -69.86 69.86        | Predict  : 296.4167785644531   |  Target 298.9847106933594 "
"Pos : -91.28 37.81        | Predict  : 306.9532470703125   |  Target 299.77923583984375"
"Pos : -98.80 0.00         | Predict  : 296.0609130859375   |  Target 300.4298095703125 "
"Pos : -91.28 -37.81       | Predict  : 301.79815673828125  |  Target 300.2670593261719 "
"Pos : -69.86 -69.86       | Predict  : 300.9212951660156   |  Target 299.5597229003906 "
"Pos : -37.81 -91.28       | Predict  : 300.7666931152344   |  Target 299.34783935546875"
"Pos : 0.00 -98.80         | Predict  : 295.9704284667969   |  Target 299.297607421875  "
"Pos : 37.81 -91.28        | Predict  : 303.3451843261719   |  Target 298.7312927246094 "
"Pos : 69.86 -69.86        | Predict  : 292.16748046875     |  Target 298.1583251953125 "
"Pos : 91.28 -37.81        | Predict  : 298.84423828125     |  Target 296.8955383300781 "
"Pos : 98.80 0.00          | Predict  : 304.06195068359375  |  Target 296.50103759765625"
"Pos : 91.28 37.81         | Predict  : 296.3980712890625   |  Target 296.22418212890625"
"Pos : 69.86 69.86         | Predict  : 298.1516418457031   |  Target 296.2203674316406 "
"Pos : 37.81 91.28         | Predict  : 304.1720275878906   |  Target 296.6725158691406 "
"Pos : 0.00 0.00           | Predict  : 311.84881591796875  |  Target 309.224853515625  "
"Pos : 0.00 49.40          | Predict  : 310.38238525390625  |  Target 307.0984802246094 "
"Pos : -34.93 34.93        | Predict  : 310.64166259765625  |  Target 308.1975402832031 "
"Pos : -49.40 0.00         | Predict  : 313.98724365234375  |  Target 309.18890380859375"
"Pos : -34.93 -34.93       | Predict  : 311.3674621582031   |  Target 309.2918395996094 "
"Pos : 0.00 -49.40         | Predict  : 309.180419921875    |  Target 308.55908203125   "
"Pos : 34.93 -34.93        | Predict  : 307.09588623046875  |  Target 307.4739990234375 "
"Pos : 49.40 0.00          | Predict  : 303.1077880859375   |  Target 306.08831787109375"
"Pos : 34.93 34.93         | Predict  : 306.1668395996094   |  Target 306.15283203125   "
"Pos : 0.00 98.80          | Predict  : 301.44439697265625  |  Target 297.2350769042969 "
"Pos : -37.81 91.28        | Predict  : 299.4649658203125   |  Target 297.9588928222656 "
"Pos : -69.86 69.86        | Predict  : 290.15289306640625  |  Target 298.9847106933594 "
"Pos : -91.28 37.81        | Predict  : 299.4781188964844   |  Target 299.77923583984375"
"Pos : -98.80 0.00         | Predict  : 297.83868408203125  |  Target 300.4298095703125 "
"Pos : -91.28 -37.81       | Predict  : 300.5415344238281   |  Target 300.2670593261719 "
"Pos : -69.86 -69.86       | Predict  : 301.005126953125    |  Target 299.5597229003906 "
"Pos : -37.81 -91.28       | Predict  : 294.13397216796875  |  Target 299.34783935546875"
"Pos : 0.00 -98.80         | Predict  : 294.0902099609375   |  Target 299.297607421875  "
"Pos : 37.81 -91.28        | Predict  : 297.237548828125    |  Target 298.7312927246094 "
"Pos : 69.86 -69.86        | Predict  : 296.0602722167969   |  Target 298.1583251953125 "
"Pos : 91.28 -37.81        | Predict  : 295.2765808105469   |  Target 296.8955383300781 "
"Pos : 98.80 0.00          | Predict  : 294.5198974609375   |  Target 296.50103759765625"
"Pos : 91.28 37.81         | Predict  : 296.2027893066406   |  Target 296.22418212890625"
"Pos : 69.86 69.86         | Predict  : 293.6610412597656   |  Target 296.2203674316406 "
"Pos : 37.81 91.28         | Predict  : 299.831787109375    |  Target 296.6725158691406 "
"Pos : 0.00 0.00           | Predict  : 307.8600158691406   |  Target 309.224853515625  "
"Pos : 0.00 49.40          | Predict  : 311.8583984375      |  Target 307.0984802246094 "
"Pos : -34.93 34.93        | Predict  : 306.71484375        |  Target 308.1975402832031 "
"Pos : -49.40 0.00         | Predict  : 314.466796875       |  Target 309.18890380859375"
"Pos : -34.93 -34.93       | Predict  : 305.1631164550781   |  Target 309.2918395996094 "
"Pos : 0.00 -49.40         | Predict  : 302.7225646972656   |  Target 308.55908203125   "
"Pos : 34.93 -34.93        | Predict  : 311.15887451171875  |  Target 307.4739990234375 "
"Pos : 49.40 0.00          | Predict  : 306.9373779296875   |  Target 306.08831787109375"
"Pos : 34.93 34.93         | Predict  : 307.08935546875     |  Target 306.15283203125   "
"Pos : 0.00 98.80          | Predict  : 297.647705078125    |  Target 297.2350769042969 "
"Pos : -37.81 91.28        | Predict  : 298.1756286621094   |  Target 297.9588928222656 "
"Pos : -69.86 69.86        | Predict  : 299.5938720703125   |  Target 298.9847106933594 "
"Pos : -91.28 37.81        | Predict  : 303.2361755371094   |  Target 299.77923583984375"
"Pos : -98.80 0.00         | Predict  : 299.3721923828125   |  Target 300.4298095703125 "
"Pos : -91.28 -37.81       | Predict  : 297.5860595703125   |  Target 300.2670593261719 "
